target	evidence_role	family	scenario	cycles_off	cycles_candidate	speedup_percent	l1_launches_off	l1_launches_candidate	l1_suppression_absolute	l1_suppression_fraction	l2_launches_off	l2_launches_candidate	l2_suppression	mshr_alloc_off	mshr_alloc_candidate	mshr_merge_off	mshr_merge_candidate	mshr_merge_reduction	ptw_walk_off	ptw_walk_candidate	ptw_walk_reduction	pte_requests_off	pte_requests_candidate	followers	follower_wait_cycles_mean	follower_wait_cycles_max	follower_delivery_latency_mean	follower_delivery_latency_p50	follower_delivery_latency_p95	follower_delivery_latency_p99	follower_delivery_latency_max	head_block_cycles	entry_full	waiter_full	entry_hwm	waiter_hwm	coverage_admissions	coverage_unique	coverage_untranslated	coverage_unobserved	repeated_admissions	readmitted_uids	duplicate_applications	off_terminal	candidate_terminal	controller_quiescent	coalescer_quiescent	correctness
T0	DEVELOPMENT	FLASH	Qwen2.5 S2 prefill Flash	527896	499441	5.390266264567263	3101682	369401	2732281	0.8809030068201704	67140	8458	58682	256	256	11122	1305	9817	256	256	0	321	318	2722464	17.963603926443106	17681	27.617016423357665	15	24	102	17706	0	411	0	2	15	3090304	3090304	0	0	0	0	0	True	True	1	1	True
T1	DEVELOPMENT	GEMM	Qwen2.5 S2 prefill GEMM	665802	647437	2.758327550833431	7169938	531118	6638820	0.9259243245896966	120026	8902	111124	493	493	9637	769	8868	493	493	0	545	549	6629952	12.016457886874596	9608	24.406535069937156	17	50	109	9632	0	352	0	2	15	7175382	7159808	0	0	15574	156	0	True	True	1	1	True
T2	DEVELOPMENT	GEMV	Qwen2.5 S2 decode step16 GEMV	93079	94034	-1.0260101634095768	412391	279190	133201	0.32299686462604665	2327	1218	1109	134	134	1249	592	657	134	134	0	163	163	132544	12.640225132786094	7645	15.40958474167069	10	10	23	7656	0	0	0	2	1	699839	411008	0	0	288831	1113	0	True	True	1	1	True
SPLITKV	DEVELOPMENT	FLASH	Qwen2.5 S2 decode step16 SplitKV	73923	73915	0.010822071615058913	236746	15220	221526	0.935711691010619	6076	508	5568	115	115	2817	153	2664	115	115	0	135	135	218862	33.46175672341475	13234	85.56264678199048	18	281	1507	13259	0	0	0	2	15	233814	233814	0	0	0	0	0	True	True	1	1	True
COMBINE	DEVELOPMENT	FLASH	Qwen2.5 S2 decode step16 Combine	10480	10480	0.0	1139	87	1052	0.9236172080772608	40	4	36	2	2	38	2	36	2	2	0	6	6	1016	28.474409448818896	971	37.53346456692913	17	24	533	987	0	0	0	2	15	1099	1099	0	0	0	0	0	True	True	1	1	True
A1	DEVELOPMENT	GEMV	Pair A S2/T2048 step16 GEMV	114123	115415	-1.1321118442382343	409588	293322	116266	0.2838608552984951	728	502	226	135	135	429	195	234	135	135	0	185	185	116032	9.777888858246001	2175	15.71308776889134	10	10	10	37697	0	0	0	2	1	2187541	409024	0	0	1778517	2051	0	True	True	1	1	True
A2	DEVELOPMENT	GEMV	Pair A T8192 step16 GEMV	117698	115700	1.6975649543747555	409538	293320	116218	0.2837783062865961	728	502	226	135	135	379	193	186	135	135	0	185	185	116032	10.282172159404302	3225	17.305613968560397	10	10	10	9663	0	0	0	2	1	2567265	409024	0	0	2158241	2752	0	True	True	1	1	True
H1	ADDITIONAL_FROZEN_EVALUATION	GEMV	Pair C S2 step16 CUBLAS_GEMV	19578	19531	0.24006537950761056	102631	52219	50412	0.4911966170065575	718	397	321	27	27	460	224	236	27	27	0	41	41	50176	10.740174585459183	971	12.78940130739796	10	10	10	982	0	0	0	2	1	102144	102144	0	0	0	0	0	True	True	1	1	True
H2	ADDITIONAL_FROZEN_EVALUATION	GEMV	Pair C D128 step96 CUBLAS_GEMV	19778	19540	1.2033572656487006	102630	52218	50412	0.4912014030985092	718	397	321	27	27	459	223	236	27	27	0	41	41	50176	10.784319196428571	971	12.833545918367347	10	10	10	982	0	0	0	2	1	102144	102144	0	0	0	0	0	True	True	1	1	True
REDUCE	INDEPENDENT_HOLDOUT	REDUCE	S2 decode step1 AT_NATIVE_REDUCE	7716	7716	0.0	130	10	120	0.9230769230769231	17	2	15	2	2	15	0	15	2	2	0	6	6	105	145.42857142857142	971	155.85714285714286	18	991	995	996	0	0	0	2	15	113	113	0	0	0	0	0	True	True	1	1	True
