target	capacity	intervening_completion_distance	hits
T0	1	0	2722464
T0	1	1	0
T0	1	2	0
T0	1	3	0
T0	1	4	0
T0	1	5_8	0
T0	1	9_16	0
T0	1	17_plus	0
T0	2	0	2722464
T0	2	1	0
T0	2	2	0
T0	2	3	0
T0	2	4	0
T0	2	5_8	0
T0	2	9_16	0
T0	2	17_plus	0
T0	4	0	2722464
T0	4	1	0
T0	4	2	0
T0	4	3	0
T0	4	4	0
T0	4	5_8	0
T0	4	9_16	0
T0	4	17_plus	0
T1	1	0	6629952
T1	1	1	0
T1	1	2	0
T1	1	3	0
T1	1	4	0
T1	1	5_8	0
T1	1	9_16	0
T1	1	17_plus	0
T1	2	0	6629952
T1	2	1	0
T1	2	2	0
T1	2	3	0
T1	2	4	0
T1	2	5_8	0
T1	2	9_16	0
T1	2	17_plus	0
T1	4	0	6629952
T1	4	1	0
T1	4	2	0
T1	4	3	0
T1	4	4	0
T1	4	5_8	0
T1	4	9_16	0
T1	4	17_plus	0
T2	1	0	132544
T2	1	1	0
T2	1	2	0
T2	1	3	0
T2	1	4	0
T2	1	5_8	0
T2	1	9_16	0
T2	1	17_plus	0
T2	2	0	132544
T2	2	1	0
T2	2	2	0
T2	2	3	0
T2	2	4	0
T2	2	5_8	0
T2	2	9_16	0
T2	2	17_plus	0
T2	4	0	132544
T2	4	1	0
T2	4	2	0
T2	4	3	0
T2	4	4	0
T2	4	5_8	0
T2	4	9_16	0
T2	4	17_plus	0
SPLITKV	1	0	218862
SPLITKV	1	1	0
SPLITKV	1	2	0
SPLITKV	1	3	0
SPLITKV	1	4	0
SPLITKV	1	5_8	0
SPLITKV	1	9_16	0
SPLITKV	1	17_plus	0
SPLITKV	2	0	218862
SPLITKV	2	1	0
SPLITKV	2	2	0
SPLITKV	2	3	0
SPLITKV	2	4	0
SPLITKV	2	5_8	0
SPLITKV	2	9_16	0
SPLITKV	2	17_plus	0
SPLITKV	4	0	218862
SPLITKV	4	1	0
SPLITKV	4	2	0
SPLITKV	4	3	0
SPLITKV	4	4	0
SPLITKV	4	5_8	0
SPLITKV	4	9_16	0
SPLITKV	4	17_plus	0
COMBINE	1	0	1016
COMBINE	1	1	0
COMBINE	1	2	0
COMBINE	1	3	0
COMBINE	1	4	0
COMBINE	1	5_8	0
COMBINE	1	9_16	0
COMBINE	1	17_plus	0
COMBINE	2	0	1016
COMBINE	2	1	0
COMBINE	2	2	0
COMBINE	2	3	0
COMBINE	2	4	0
COMBINE	2	5_8	0
COMBINE	2	9_16	0
COMBINE	2	17_plus	0
COMBINE	4	0	1016
COMBINE	4	1	0
COMBINE	4	2	0
COMBINE	4	3	0
COMBINE	4	4	0
COMBINE	4	5_8	0
COMBINE	4	9_16	0
COMBINE	4	17_plus	0
A1	1	0	116032
A1	1	1	0
A1	1	2	0
A1	1	3	0
A1	1	4	0
A1	1	5_8	0
A1	1	9_16	0
A1	1	17_plus	0
A1	2	0	116032
A1	2	1	0
A1	2	2	0
A1	2	3	0
A1	2	4	0
A1	2	5_8	0
A1	2	9_16	0
A1	2	17_plus	0
A1	4	0	116032
A1	4	1	0
A1	4	2	0
A1	4	3	0
A1	4	4	0
A1	4	5_8	0
A1	4	9_16	0
A1	4	17_plus	0
A2	1	0	116032
A2	1	1	0
A2	1	2	0
A2	1	3	0
A2	1	4	0
A2	1	5_8	0
A2	1	9_16	0
A2	1	17_plus	0
A2	2	0	116032
A2	2	1	0
A2	2	2	0
A2	2	3	0
A2	2	4	0
A2	2	5_8	0
A2	2	9_16	0
A2	2	17_plus	0
A2	4	0	116032
A2	4	1	0
A2	4	2	0
A2	4	3	0
A2	4	4	0
A2	4	5_8	0
A2	4	9_16	0
A2	4	17_plus	0
